Country Name;Short Name;year;Record;Built-up Land;Cropland;Fishing Grounds;Forest Products;Grazing Land;Total;Data Quality Score;isoa2
South Africa;South Africa;2014;BiocapPerCap;0,035049346;0,293456403;0,166106439;0,019347229;0,563987595;1,077947013;3A;ZA
Turkey;Turkey;1961;BiocapPerCap;0,014796909;0,831905728;0,118932813;1,501266427;0,243470556;2,710372434;3A;TR
Turkey;Turkey;1962;BiocapPerCap;0,015656379;0,865682805;0,115860685;1,466582865;0,236136668;2,699919402;3A;TR
Turkey;Turkey;1963;BiocapPerCap;0,018019856;1,002877141;0,112788711;1,431269189;0,228858502;2,7938134;3A;TR
Turkey;Turkey;1964;BiocapPerCap;0,015607598;0,847760595;0,109960389;1,398232395;0,222127938;2,593688913;3A;TR
Turkey;Turkey;1965;BiocapPerCap;0,015713518;0,835768994;0,107068503;1,367808336;0,215320556;2,541679907;3A;TR
Turkey;Turkey;1966;BiocapPerCap;0,017228236;0,903740258;0,104608947;1,33920673;0,209430874;2,574215045;3A;TR
Turkey;Turkey;1967;BiocapPerCap;0,017961126;0,9163073;0,101957368;1,309139676;0,203202848;2,548568319;3A;TR
Turkey;Turkey;1968;BiocapPerCap;0,017008646;0,859507738;0,099463612;1,276313989;0,197335768;2,449629754;3A;TR
Turkey;Turkey;1969;BiocapPerCap;0,017314231;0,891749654;0,09652309;1,245251604;0,189760847;2,440599427;3A;TR
Turkey;Turkey;1970;BiocapPerCap;0,017097624;0,848944002;0,094490186;1,215432363;0,184059973;2,360024147;3A;TR
Turkey;Turkey;1971;BiocapPerCap;0,020279627;0,991773185;0,092128338;1,186824879;0,177797605;2,468803634;3A;TR
Turkey;Turkey;1972;BiocapPerCap;0,019435767;0,948468953;0,090246509;1,158914556;0,172538165;2,38960395;3A;TR
Turkey;Turkey;1973;BiocapPerCap;0,015856753;0,756981836;0,087553965;1,132984274;0,165811258;2,159188087;3A;TR
Turkey;Turkey;1974;BiocapPerCap;0,017582037;0,809080159;0,085773628;1,10471476;0,160892579;2,178043164;3A;TR
Turkey;Turkey;1975;BiocapPerCap;0,021803678;0,970639704;0,083731457;1,079473503;0,155551702;2,311200044;3A;TR
Turkey;Turkey;1976;BiocapPerCap;0,023277642;1,014111009;0,081716978;1,054799064;0,150335437;2,324240131;3A;TR
Turkey;Turkey;1977;BiocapPerCap;0,023081544;0,991046352;0,080253474;1,03047516;0,146195536;2,271052066;3A;TR
Turkey;Turkey;1978;BiocapPerCap;0,022958203;0,967833913;0,078586211;1,00596579;0,14174092;2,217085037;3A;TR
Turkey;Turkey;1979;BiocapPerCap;0,023635123;1,000043785;0,076960002;0,983749214;0,140195909;2,224584034;3A;TR
Turkey;Turkey;1980;BiocapPerCap;0,023424897;0,958191396;0,075214389;0,958857015;0,137015973;2,15270367;3A;TR
Turkey;Turkey;1981;BiocapPerCap;0,02376885;0,951086921;0,073629738;0,937228429;0,134129258;2,119843197;3A;TR
Turkey;Turkey;1982;BiocapPerCap;0,027166513;1,009002323;0,07154052;0,916561538;0,130323388;2,154594282;3A;TR
Turkey;Turkey;1983;BiocapPerCap;0,025613976;0,913389119;0,069733189;0,895819527;0,127031023;2,031586833;3A;TR
